,일자,시가,고가,저가,종가,전일비,등락률,거래량
0,43175,88500,89900,87200,89800,▲200,0.0022,5002039
1,43174,90300,90500,88600,89600,"▼1,100",-0.0121,4106667
2,43173,89300,90900,89200,90700,▲700,0.0078,5939290
3,43172,88000,90000,87600,90000,"▲5,100",0.0601,8775741
4,43171,84900,85600,84300,84900,"▲1,600",0.0192,2744795
5,43168,84400,85900,83100,83300,▼200,-0.0024,5159197
6,43167,83900,84300,81800,83500,▲800,0.0097,4440076
7,43166,83600,83900,82400,82700,▲300,0.0036,4992841
8,43165,80100,82500,80000,82400,"▲4,100",0.0524,7588369
9,43164,77500,78900,77100,78300,▲900,0.0116,3415061
10,43161,76300,77800,75900,77400,▲600,0.0078,2673152
11,43159,78600,79200,76600,76800,"▼1,900",-0.0241,3102987
12,43158,78700,79200,78400,78700,"▲1,200",0.0155,3395415
13,43157,78300,78500,77200,77500,▲200,0.0026,2327486
14,43154,76100,77600,76000,77300,"▲1,400",0.0184,2404473
15,43153,76100,77400,75700,75900,"▼1,000",-0.013,1879461
16,43152,75800,77200,75800,76900,"▲1,400",0.0185,2653870
17,43151,76400,76500,75200,75500,"▼1,000",-0.0131,2507719
18,43150,78900,79000,76100,76500,"▼1,100",-0.0142,3350577
19,43145,78400,79500,77000,77600,▼100,-0.0013,3943628
20,43144,75900,77800,75800,77700,"▲3,200",0.043,7814367
21,43143,73700,74700,73400,74500,"▲1,100",0.015,3317876
22,43140,72100,74200,72000,73400,▼500,-0.0068,5118112
23,43139,71900,74200,71600,73900,"▲2,800",0.0394,5586858
24,43138,73700,73800,70800,71100,▲900,0.0128,6007913
25,43137,69100,71300,68200,70200,0,0.0,5679965
26,43136,70200,70900,69800,70200,"▼2,000",-0.0277,4058439
27,43133,74500,74600,71800,72200,"▼2,200",-0.0296,4343077
28,43132,74900,75200,74000,74400,▲900,0.0122,2987816
29,43131,72200,74500,72200,73500,▲400,0.0055,5800892
30,43131,72200,74500,72200,73500,▲400,0.0055,5800892
31,43130,74300,74600,73100,73100,"▼2,200",-0.0292,5443314
32,43129,76500,77000,75000,75300,▼200,-0.0026,3618328
33,43126,76400,76400,74200,75500,▼300,-0.004,4296170
34,43125,73400,76200,72300,75800,"▲3,400",0.047,8758929
35,43124,71600,73200,71500,72400,"▲1,100",0.0154,3802939
36,43123,71800,72200,70900,71300,▲200,0.0028,4671451
37,43122,72800,72800,70700,71100,"▼2,200",-0.03,5610463
38,43119,75300,75800,73000,73300,"▼1,900",-0.0253,3898397
39,43118,75800,76800,74600,75200,"▲1,100",0.0148,6199800
40,43117,74400,75000,73700,74100,▼300,-0.004,3256624
41,43116,72700,74700,72700,74400,"▲1,700",0.0234,4383229
42,43115,73700,74100,72500,72700,"▼1,700",-0.0228,3541267
43,43112,73300,74500,72000,74400,"▲1,800",0.0248,5659087
44,43111,73200,73800,72000,72600,▼300,-0.0041,3777867
45,43110,76700,76700,72500,72900,"▼4,000",-0.052,9123901
46,43109,78300,78900,76300,76900,"▼1,300",-0.0166,3343874
47,43108,79500,80000,77400,78200,"▼1,100",-0.0139,2960495
48,43105,78400,79400,78300,79300,"▲2,200",0.0285,3395065
49,43104,78700,79700,77100,77100,▼600,-0.0077,3729328
50,43103,78100,78800,77300,77700,"▲1,100",0.0144,3097644
51,43102,77300,77300,76200,76600,▲100,0.0013,2014838
52,43097,75400,76700,75200,76500,"▲1,400",0.0186,2825939
53,43096,75400,76400,74400,75100,"▲1,100",0.0149,4291492
54,43095,76600,76900,74000,74000,"▼2,700",-0.0352,6253943
55,43091,76400,77400,76300,76700,▼300,-0.0039,3382954
56,43090,80200,80600,76900,77000,"▼3,100",-0.0387,4831110
57,43089,80900,81600,79900,80100,▼100,-0.0012,4375810
58,43088,78400,80800,78200,80200,"▲3,000",0.0389,6782210
59,43087,76200,77300,75900,77200,"▲1,500",0.0198,3237589
60,43084,77100,77400,75600,75700,▼300,-0.0039,3374982
61,43083,77200,77600,76000,76000,▼800,-0.0104,5552560
62,43082,77400,77500,76200,76800,"▼1,000",-0.0129,3485920
63,43081,79000,79000,77100,77800,▼900,-0.0114,3746347
64,43080,79000,79500,78000,78700,0,0.0,2493176
65,43077,77500,78900,76900,78700,"▲2,700",0.0355,3660716
66,43076,78300,78300,75600,76000,"▼1,500",-0.0194,5166136
67,43075,78700,79500,77200,77500,▼400,-0.0051,3934238
68,43074,77600,79300,77100,77900,"▼1,200",-0.0152,3736568
69,43073,77600,79200,76800,79100,"▲1,700",0.022,4115752
70,43070,77200,78800,77100,77400,▲600,0.0078,4340592
71,43069,77000,79600,76800,76800,"▼5,600",-0.068,11213748
72,43068,82900,83000,82100,82400,▼200,-0.0024,2418748
